Hersteller;Name;Lochzahl;D1
ALESA;9021, 622x21;36;610
ALESA;913,  622x13  V- Profil;36;607
ALESA;917, schwarz oder silber, 622x19;36;603
ALESA;COLUMBIA, 622x19;36;604
ALESA;DISCOVERY, 559x 19;36;533
ALESA;ENDEAVOUR,  559x17;36;542
ALESA;ENDEAVOUR,  622x17;36;603
ALESA;KONKAV,   622x19;36;616
ALESA;M21,  622x21;36;617
ALESA;SPUTNIK,  622-19;36;604
ALESA;SPUTNIK, 559 x 19 schwarz/silber;36;541
ALESA;X-PLORER,  622 x 19;36;591
ALESA;X-PLORER, 559 x 19;36;531
ALEX;AL-DA 16, 622x17mm, V- Profil;36;602
ALTEN;820 inox 18/20  559 x 20;36;551
ALTENBURGER;alu, uralt;36;621
AMBROSIO;D.H.-28,  559-22;36;548
AMBROSIO;EVOLUTION  622-13;36;605
AMBROSIO;PRESTIGE, 622x17;36;605
AMBROSIO;TEXAS,  622x18;36;608
AMBROSIO;V-Profil ohne Ösen 622-13,5;32;601
ARAYA;700C PX-45;36;615
ARAYA;DH, Spercial Edition, 559x 25;36;549
ARAYA;TM -810 F, 559x18;36;546
ARAYA;VX-400 ,  622x13;32;613
CAMPAGNOLO;DELTA  6021 alloy,  622x13;36;594
CAMPAGNOLO;EVEREST,  559-17;36;545
CAMPAGNOLO;Omega, V-Profil, 622x13;36;602
CAMPAGNOLO;STH EV 10 ,  6082 alloy T6;36;538
CAMPAGNOLO;TOKYO  64 , 622x13;36;610
CAMPAGNOLO;ZARK 6061 alloy T6, 559x16;36;545
DMR;DV 24;36;483
DT Swiss;"XR 4.1. ; 17 x 559";28;537
DT SWISS;"XR 1.4.; 17 x 559";28;538
exal;sp 19;36;602
GRUNERT;alloy 590 x 17;36;581
GRUNERT;ALLOY,  630 x 20;36;620
GRUNERT;Alloy, schwarz, einfach, 622-20;36;609
GRUNERT;ALU einfach,  622 x 17 C;36;609
GRUNERT;KONKAV,  622x19;36;618
GRUNERT;MTB HAUSDACH, 559x21;36;548
GRUNERT;MTB konkav,  559x22;36;554
J. BAYER;HURICCANE  AL 114,  622x13;36;605
MAD MAX;DH, 559 x 29 mm,  850 g;36;537
mavic;717;32;542
mavic;A 319;36;606
mavic;a 319,  28 zoll;36;607
Mavic;719;32;538
Mavic;CXP 21 622x15-6106;32;602
Mavic;T-224, 622-19;32;608
MAVIC; 221, 559-17;32;545
MAVIC;217 CERAMIC SUP,  559x 17;32;544
MAVIC;217 SUP 6106 alloy,  559x17;32;540
MAVIC;238  6106 alloy,  559x17;36;548
MAVIC;A 719, 622x19 mm;36;604
MAVIC;CPX 12, 622x14, V- Profil;32;600
MAVIC;CPX-14 , 622x14, V-Profil;36;590
MAVIC;CXP 33, 650 i, Triathlon;36;549
MAVIC;DH 521, 559x21mm;36;535
MAVIC;M 234,  622x 19;36;612
MAVIC;M 261 CD, 559x 19;36;547
MAVIC;M 261,  622x 19;36;610
MAVIC;MA 2 ,  622x13;36;611
MAVIC;MA 3,  silber o. hardelox.,  622x13;36;609
MAVIC;MA 40,  622x13;36;611
MAVIC;Module 3 CD,  622x 15;36;611
MAVIC;Module 3 SBP, schawrz + silber,  622-15;36;611
MAVIC;Module 4, 622x15;36;611
MAVIC;MTB 521 CD, 559x21;36;535
MAVIC;Open 4 CD, 571x13mm;36;555
MAVIC;Open 4 CD, 622x 13;36;608
MAVIC;"OPEN PRO; SUP; UB; SILBER, 622x13";36;605
MAVIC;Reflex-Schlauchreifenfelge, 622x13;36;612
MAVIC;T 217  SUP,  622x17;36;602
MAVIC;T 261, 622x20;36;611
MAVIC;T 519 CD, 622x19;36;602
MAVIC;T 520, 622x20 mm;36;603
MAVIC;X (BMX) SUP;36;394
MAVIC;X 517 SUP CERAMIC ,  559x17;32;540
MAVIC;X 519, 559x19 mm;36;539
MAVIC;X 618, 559x18;36;540
MAVIC;X138 (26'');36;546
MAVIC;Xy BMX 24",  507x 25;36;490
Rigida;Nova 2005;36;600
Rigida;ZAC 21 (622);36;610
RIGIDA; 27*1,25 (630*16), Hohlkammer;36;618
RIGIDA;27x1 1/4, Kasten einfach;36;620
RIGIDA;CHRINA 13x 622, Hohlkammer;36;610
RIGIDA;CTX 50, 559x20;36;539
RIGIDA;DP 18 - 700 C;36;581
RIGIDA;DP 2000, 559x18;36;522
RIGIDA;DP 2000, 622x19mm;36;583
RIGIDA;DP 22  559x16;36;520
RIGIDA;DP 25  19*622;36;597
RIGIDA;DPX und DPX CSS;36;593
RIGIDA;Laser 622 x 18;36;609
RIGIDA;Nova Ultimate Power double wall;36;603
RIGIDA;Stahl  26x1,9;36;546
RIGIDA;Stahlfelge 622-18;36;614
RIGIDA;SUPERCHROMIX 559x22;36;550
RIGIDA;SUPERCHROMIX,  26*1 3/8, 590x 18;36;583
RIGIDA;TURBO 90 (Aero), 559x 19;36;534
RIGIDA;XC 420, 559x17;36;545
RIGIDA;ZAC 19 , 622x19,  einfach geöst;36;607
RIGIDA;ZAC 19, 559x 18;36;545
RIGIDA;ZAC 2000 559x18;36;538
RIGIDA;ZAC 2000, 622x18;36;602
RITCHEY;OCR PRO, MTB, asymetrisch;36;543
RITCHEY;Rock 440, 559x17mm;36;548
RITCHEY;ROCK WCS, 599-17;32;540
RITCHEY;SCX  MTB;36;550
RITCHEY;Vantage Comp;32;548
SCHÜRMANN;Alloy Ultra, 622x13;36;604
SUN RIMS;0° XC, TCB , 559x24;36;544
SUN RIMS;0°XC TBC, 622-14;36;610
SUN RIMS;0°XC, TBC, 559-14;36;544
SUN RIMS;CR 18, 622x18 mm;36;613
SUN RIMS;CR- 18, 559x22;36;548
SUN RIMS;Double Wide, 507x34mm, downhill;36;494
SUN RIMS;Double Wide, 559x34, downhill;36;541
SUN RIMS;DS1-XC;32;548
SUN RIMS;Mammoth, 559x24;36;548
SUN RIMS;Rhino lite, 559x24;36;548
SYNCROS;Altrax XLR;32;542
SYNCROS;Grizzly 559x18;36;541
Tioga;Schwarz-Weiss, DH, 559x27 mm;36;549
Van Schothorst;Niro, Westwood 5902x22;36;581
VAN SCHOTHORST;22 x 635 Stainless 18/10 (Niro);36;624
VAN SCHOTHORST;22*622   stahl einfach;36;615
VAN SCHOTHORST;niro stainless 20x622;36;613
VAN SCHOTHORST;Stahl, 20x1,75;36;401
VAN SCHOTHORST;Stainhless 18/10 622x22;36;614
VAN SCHOTHORST;STAINLESS WESTWOOD 28x1 1/2 (2,34);36;625
VAN SCHOTHORST;WESTWOOD 622x22;36;613
VAN SHCOTHORST;STAINLESS 22X559(26X2);36;550
VUELTA;AIRLINE 559x21  6063;36;567
VUELTA;Strong, 559x19 mm;36;548
WEINMANN;ZAC 19,  622-19;36;608
